outage_id,source_unit_name,plant_id,plant_name,unit_id,mapping_level,access_scope,source_urls
107,通霄#2,21,通霄發電廠,169,unit,plant,https://data.gov.tw/dataset/8934
108,通霄#2,21,通霄發電廠,169,unit,plant,https://data.gov.tw/dataset/8934
109,通霄#2,21,通霄發電廠,169,unit,plant,https://data.gov.tw/dataset/8934
110,大潭#2,8,大潭發電廠,55,unit,plant,https://data.gov.tw/dataset/8934
111,大潭#6,8,大潭發電廠,57,unit,plant,https://data.gov.tw/dataset/8934
112,大潭#6,8,大潭發電廠,57,unit,plant,https://data.gov.tw/dataset/8934
113,大潭#6,8,大潭發電廠,57,unit,plant,https://data.gov.tw/dataset/8934
114,通霄#3,21,通霄發電廠,168,unit,plant,https://data.gov.tw/dataset/8934
115,通霄#3,21,通霄發電廠,168,unit,plant,https://data.gov.tw/dataset/8934
116,通霄#3,21,通霄發電廠,168,unit,plant,https://data.gov.tw/dataset/8934
117,南部#3,4,南部發電廠,11,unit,plant,https://data.gov.tw/dataset/8934
118,南部#3,4,南部發電廠,11,unit,plant,https://data.gov.tw/dataset/8934
119,南部#3,4,南部發電廠,11,unit,plant,https://data.gov.tw/dataset/8934
120,大潭#7,8,大潭發電廠,52,unit,plant,https://data.gov.tw/dataset/8934
121,大潭#7,8,大潭發電廠,52,unit,plant,https://data.gov.tw/dataset/8934
122,大潭#7,8,大潭發電廠,52,unit,plant,https://data.gov.tw/dataset/8934
123,大潭#4,8,大潭發電廠,58,unit,plant,https://data.gov.tw/dataset/8934
124,大潭#4,8,大潭發電廠,58,unit,plant,https://data.gov.tw/dataset/8934
125,大潭#4,8,大潭發電廠,58,unit,plant,https://data.gov.tw/dataset/8934
126,大潭#2,8,大潭發電廠,55,unit,plant,https://data.gov.tw/dataset/8934
127,大潭#2,8,大潭發電廠,55,unit,plant,https://data.gov.tw/dataset/8934
128,大潭#2,8,大潭發電廠,55,unit,plant,https://data.gov.tw/dataset/8934
129,大潭#2,8,大潭發電廠,55,unit,plant,https://data.gov.tw/dataset/8934
130,興達新#1,18,興達發電廠,,plant_only,plant,https://service.taipower.com.tw/tpcjournal/article/7563
131,興達新#1,18,興達發電廠,,plant_only,plant,https://service.taipower.com.tw/tpcjournal/article/7563
132,興達新#1,18,興達發電廠,,plant_only,plant,https://service.taipower.com.tw/tpcjournal/article/7563
133,通霄#1,21,通霄發電廠,167,unit,plant,https://data.gov.tw/dataset/8934
134,通霄#1,21,通霄發電廠,167,unit,plant,https://data.gov.tw/dataset/8934
135,通霄#1,21,通霄發電廠,167,unit,plant,https://data.gov.tw/dataset/8934
136,大潭#5,8,大潭發電廠,56,unit,plant,https://data.gov.tw/dataset/8934
137,大潭#5,8,大潭發電廠,56,unit,plant,https://data.gov.tw/dataset/8934
138,大潭#5,8,大潭發電廠,56,unit,plant,https://data.gov.tw/dataset/8934
